,location,total_sqft,bath,price,BHK,total_price_per_sqft,area_type_Carpet  Area,area_type_Plot  Area,area_type_Super built-up  Area
0,1st Block Jayanagar,2850.0,4.0,428.0,4.0,15017.543859649122,0.0,0.0,1.0
1,1st Block Jayanagar,1630.0,3.0,194.0,3.0,11901.840490797545,0.0,0.0,1.0
2,1st Block Jayanagar,1875.0,2.0,235.0,3.0,12533.333333333334,0.0,0.0,1.0
3,1st Block Jayanagar,1200.0,2.0,130.0,3.0,10833.333333333334,0.0,0.0,0.0
4,1st Block Jayanagar,1235.0,2.0,148.0,2.0,11983.805668016194,0.0,0.0,1.0
5,1st Block Jayanagar,2750.0,4.0,413.0,4.0,15018.181818181818,0.0,0.0,1.0
6,1st Block Jayanagar,2450.0,4.0,368.0,4.0,15020.408163265307,0.0,0.0,1.0
8,1st Phase JP Nagar,1875.0,3.0,167.0,3.0,8906.666666666666,0.0,0.0,1.0
9,1st Phase JP Nagar,1500.0,5.0,85.0,5.0,5666.666666666667,0.0,0.0,0.0
10,1st Phase JP Nagar,2065.0,4.0,210.0,3.0,10169.49152542373,0.0,0.0,1.0
12,1st Phase JP Nagar,2059.0,3.0,225.0,3.0,10927.634774162214,0.0,0.0,1.0
13,1st Phase JP Nagar,1394.0,2.0,100.0,2.0,7173.601147776184,0.0,0.0,1.0
14,1st Phase JP Nagar,1077.0,2.0,93.0,2.0,8635.097493036212,0.0,0.0,1.0
15,1st Phase JP Nagar,1566.0,2.0,180.0,2.0,11494.252873563219,0.0,1.0,0.0
16,1st Phase JP Nagar,840.0,2.0,50.0,1.0,5952.380952380952,0.0,0.0,0.0
17,1st Phase JP Nagar,1590.0,3.0,131.0,3.0,8238.993710691824,0.0,0.0,1.0
18,1st Phase JP Nagar,2180.0,3.0,210.0,3.0,9633.02752293578,0.0,0.0,1.0
19,1st Phase JP Nagar,1180.0,2.0,88.5,2.0,7500.0,0.0,0.0,1.0
20,1st Phase JP Nagar,1200.0,2.0,86.0,2.0,7166.666666666667,0.0,0.0,1.0
21,1st Phase JP Nagar,1394.0,2.0,85.0,2.0,6097.5609756097565,0.0,0.0,0.0
22,1st Phase JP Nagar,2077.0,3.0,175.0,3.0,8425.613866153106,0.0,0.0,1.0
24,1st Phase JP Nagar,1205.0,2.0,85.0,2.0,7053.941908713693,0.0,0.0,1.0
26,1st Phase JP Nagar,900.0,2.0,75.0,2.0,8333.333333333334,0.0,0.0,1.0
27,2nd Phase Judicial Layout,1450.0,2.0,50.75,3.0,3500.0,0.0,0.0,1.0
28,2nd Phase Judicial Layout,1150.0,2.0,40.25,2.0,3500.0,0.0,0.0,1.0
29,2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0,3500.0,0.0,0.0,1.0
30,2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0,3500.0,0.0,0.0,1.0
31,2nd Phase Judicial Layout,900.0,2.0,41.0,2.0,4555.555555555556,0.0,0.0,1.0
32,2nd Phase Judicial Layout,1681.0,3.0,69.0,3.0,4104.699583581201,0.0,0.0,1.0
33,2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0,3500.0,0.0,0.0,1.0
34,2nd Phase Judicial Layout,1150.0,2.0,40.25,2.0,3500.0,0.0,0.0,1.0
35,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4.0,14666.666666666666,0.0,1.0,0.0
36,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6.0,15033.333333333334,0.0,1.0,0.0
37,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6.0,18750.0,0.0,1.0,0.0
38,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4.0,14814.814814814816,0.0,1.0,0.0
39,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4.0,18750.0,0.0,1.0,0.0
40,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4.0,15333.333333333334,0.0,1.0,0.0
41,5th Block Hbr Layout,1206.0,2.0,56.0,2.0,4643.449419568822,0.0,0.0,1.0
42,5th Block Hbr Layout,1270.0,2.0,70.0,3.0,5511.811023622047,0.0,0.0,1.0
43,5th Block Hbr Layout,1312.0,2.0,69.0,2.0,5259.1463414634145,0.0,0.0,1.0
44,5th Block Hbr Layout,1100.0,2.0,48.0,2.0,4363.636363636364,0.0,0.0,1.0
45,5th Block Hbr Layout,3600.0,5.0,130.0,5.0,3611.1111111111113,0.0,0.0,0.0
46,5th Block Hbr Layout,5100.0,5.0,300.0,6.0,5882.35294117647,0.0,0.0,0.0
47,5th Phase JP Nagar,1075.0,2.0,60.0,2.0,5581.395348837209,0.0,0.0,1.0
48,5th Phase JP Nagar,1150.0,3.0,52.5,2.0,4565.217391304348,0.0,0.0,0.0
49,5th Phase JP Nagar,1256.0,2.0,62.8,2.0,5000.0,0.0,0.0,0.0
50,5th Phase JP Nagar,1207.0,2.0,63.0,2.0,5219.552609776305,0.0,0.0,1.0
51,5th Phase JP Nagar,1725.0,2.0,100.0,3.0,5797.101449275362,0.0,0.0,0.0
52,5th Phase JP Nagar,1440.0,2.0,60.0,2.0,4166.666666666667,0.0,0.0,1.0
53,5th Phase JP Nagar,1700.0,2.0,100.0,3.0,5882.35294117647,0.0,0.0,0.0
55,5th Phase JP Nagar,2500.0,5.0,110.0,5.0,4400.0,0.0,0.0,1.0
56,5th Phase JP Nagar,600.0,1.0,30.0,1.0,5000.0,0.0,0.0,0.0
57,5th Phase JP Nagar,1390.0,2.0,65.0,2.0,4676.258992805755,0.0,0.0,1.0
58,5th Phase JP Nagar,1256.0,2.0,62.8,2.0,5000.0,0.0,0.0,0.0
59,5th Phase JP Nagar,1000.0,2.0,48.0,2.0,4800.0,0.0,0.0,1.0
60,5th Phase JP Nagar,1350.0,2.0,75.0,3.0,5555.555555555556,0.0,0.0,1.0
